title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Men I Trust - Equus Euro Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/men-i-trust-equus-euro-tour-2026-487944/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-06-20T00:00:00,2026-06-20T00:00:00,,2026-06-20T00:00:00,,,EUR,,2026-02-21T17:48:15.219872
''Oh Happy Day'' Gospelo muzikos koncertas | Vilnius,https://www.bilietai.lt/eng/tickets/teatras/oh-happy-day-gospelo-muzikos-koncertas--vilnius-493184/,theatre,Šv. Kotrynos bažnyčia,"Vilniaus g. 30, Vilnius",Vilnius,Lithuania,2026-04-07T00:00:00,2026-04-07T00:00:00,,2026-04-07T00:00:00,,,EUR,,2026-02-21T17:48:22.570526
Jean-Yves Thibaudet (fortepijonas),https://www.bilietai.lt/eng/tickets/koncertai/jean-yves-thibaudet-fortepijonas-487398/,concert,Lietuvos nacionalinė filharmonija,"Aušros Vartų g. 5, Vilnius",Vilnius,Lithuania,2026-05-21T00:00:00,2026-05-21T00:00:00,,2026-05-21T00:00:00,,,EUR,,2026-02-21T17:48:31.416960
Baltpool Biomass Day '26 conference,https://www.bilietai.lt/eng/tickets/kita/seminarai/baltpool-biomass-day-26-conference-493905/,event,AC Hotel by Marriott Vilnius,"Vasario 16-osios g. 5, Vilnius",Vilnius,Lithuania,2026-05-06T00:00:00,2026-05-07T00:00:00,,2026-05-07T00:00:00,,,EUR,,2026-02-21T17:48:42.058779
30 metų su daina ''MAMAI'' / Jubiliejinis SASHOS SONG koncertas,https://www.bilietai.lt/eng/tickets/koncertai/30-metu-su-daina-mamai-jubiliejinis-sashos-song-koncertas-102343/,concert,Unknown,,,Lithuania,2026-04-24T00:00:00,2026-05-03T00:00:00,,2026-05-03T00:00:00,,,EUR,,2026-02-21T17:48:49.775936
''Reflections'' albumo pristatymas,https://www.bilietai.lt/eng/tickets/koncertai/reflections-albumo-pristatymas-493821/,concert,"Lietuvos teatro, muzikos ir kino muziejus","Vilniaus g. 41, Vilnius",Vilnius,Lithuania,2026-03-12T00:00:00,2026-03-12T00:00:00,,2026-03-12T00:00:00,,,EUR,,2026-02-21T17:48:57.803438
NICK CAVE & THE BAD SEEDS | KALNŲ PARKAS | VILNIUS,https://www.bilietai.lt/eng/tickets/koncertai/nick-cave--the-bad-seeds--kalnu-parkas--vilnius-481977/,concert,Kalnų parkas,"Kalnų parkas, T. Kosciuškos g., Vilnius, Vilnius",Vilnius,Lithuania,2026-08-18T00:00:00,2026-08-18T00:00:00,,2026-08-18T00:00:00,,,EUR,,2026-02-21T17:49:05.150015
JUODAS VILNIUS 2026,https://www.bilietai.lt/eng/tickets/koncertai/juodas-vilnius-2026-488567/,concert,Kalnų parkas,"Kalnų parkas, T. Kosciuškos g., Vilnius, Vilnius",Vilnius,Lithuania,2026-06-13T00:00:00,2026-06-13T00:00:00,,2026-06-13T00:00:00,,,EUR,,2026-02-21T17:49:15.279056
Atlanta koncertas | Šv. Kotrynos bažnyčia,https://www.bilietai.lt/eng/tickets/koncertai/atlanta-koncertas--sv-kotrynos-baznycia-492345/,concert,Šv. Kotrynos bažnyčia,"Vilniaus g. 30, Vilnius",Vilnius,Lithuania,2026-05-03T00:00:00,2026-05-03T00:00:00,,2026-05-03T00:00:00,,,EUR,,2026-02-21T17:49:22.765984
JACK SAVORETTI | Kablys | Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/jack-savoretti--kablys--vilnius-492279/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-10-05T00:00:00,2026-10-05T00:00:00,,2026-10-05T00:00:00,,,EUR,,2026-02-21T17:49:29.995820
Benjamin Clementine - European Tour 2026,https://www.bilietai.lt/eng/tickets/koncertai/benjamin-clementine-european-tour-2026-488538/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-06-23T00:00:00,2026-06-23T00:00:00,,2026-06-23T00:00:00,,,EUR,,2026-02-21T17:49:39.694112
LKL: Vilniaus ''Rytas'' - Kauno ''Žalgiris'',https://www.bilietai.lt/eng/tickets/sportas/krepsinis/lkl-vilniaus-rytas-kauno-zalgiris-494647/,sport,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-04-19T00:00:00,2026-04-19T00:00:00,,2026-04-19T00:00:00,,,EUR,,2026-02-21T17:49:47.255628
New Baltic Dance,https://www.bilietai.lt/eng/tickets/teatras/new-baltic-dance-101599/,theatre,Unknown,,,Lithuania,2026-02-26T00:00:00,2026-04-29T00:00:00,,2026-04-29T00:00:00,,,EUR,,2026-02-21T17:49:54.844275
"Eimunto Nekrošiaus spektaklis ""Bado meistras""",https://www.bilietai.lt/eng/tickets/teatras/eimunto-nekrosiaus-spektaklis-bado-meistras-492027/,theatre,Teatras Meno fortas,"Bernardinų g. 8, Vilnius",Vilnius,Lithuania,2026-03-27T00:00:00,2026-03-27T00:00:00,,2026-03-27T00:00:00,,,EUR,,2026-02-21T17:50:02.205747
Jack White,https://www.bilietai.lt/eng/tickets/koncertai/jack-white-491767/,concert,Siguldas pilsdrupu estrāde,"Pils iela 18, Sigulda",Sigulda,Latvia,2026-05-30T00:00:00,2026-05-30T00:00:00,,2026-05-30T00:00:00,,,EUR,,2026-02-21T17:50:09.372503
